player_id,Player,Mat,Runs,HS,Bat Av,100,Wkts,Bowl Av,5,Ct,St,Ave Diff,career_start,career_end,career_length
241,VT Trumper (AUS),48,3163,214,39.04,8,8,39.62,0,31,0,-0.57,1899,1912,14
242,GL Jessop (ENG),18,569,104,21.88,1,10,35.4,0,11,0,-13.51,1899,1912,14
243,W Mead (ENG),1,7,7,3.5,0,1,91,0,1,0,-87.49,1899,1899,1
244,CL Townsend (ENG),2,51,38,17,0,3,25,0,0,0,-7.99,1899,1899,1
245,WG Quaife (ENG),7,228,68,19,0,0,0,0,4,0,0,1899,1902,4
246,HI Young (ENG),2,43,43,21.5,0,12,21.83,0,1,0,-0.33,1899,1899,1
247,WM Bradley (ENG),2,23,23,23,0,6,38.83,1,0,0,-15.83,1899,1899,1
248,AO Jones (ENG),12,291,34,13.85,0,3,44.33,0,15,0,-30.47,1899,1909,11
249,SF Barnes (ENG),27,242,38,8.06,0,189,16.43,24,12,0,-8.36,1901,1914,14
250,C Blythe (ENG),19,183,27,9.63,0,100,18.63,9,6,0,-8.99,1901,1910,10
251,LC Braund (ENG),23,987,104,25.97,3,47,38.51,3,39,0,-12.53,1901,1908,8
252,JR Gunn (ENG),6,85,24,10.62,0,18,21.5,1,3,0,-10.87,1901,1905,5
253,WW Armstrong (AUS),50,2863,159,38.68,6,87,33.59,3,44,0,5.09,1902,1921,20
254,RA Duff (AUS),22,1317,146,35.59,2,4,21.25,0,14,0,14.34,1902,1905,4
255,AJY Hopkins (AUS),20,509,43,16.41,0,26,26.76,0,11,0,-10.34,1902,1909,8
256,CP McGahey (ENG),2,38,18,9.5,0,0,0,0,1,0,0,1902,1902,1
257,JV Saunders (AUS),14,39,11,2.29,0,79,22.73,6,5,0,-20.44,1902,1908,7
258,JPF Travers (AUS),1,10,9,5,0,1,14,0,1,0,-8.99,1902,1902,1
259,LCH Palairet (ENG),2,49,20,12.25,0,0,0,0,2,0,0,1902,1902,1
260,FW Tate (ENG),1,9,5,9,0,2,25.5,0,2,0,-16.49,1902,1902,1
261,CMH Hathorn (SA),12,325,102,17.1,1,0,0,0,5,0,0,1902,1911,10
262,AW Nourse (SA),45,2234,111,29.78,1,41,37.87,0,43,0,-8.09,1902,1924,23
263,CJE Smith (SA),3,106,45,21.2,0,0,0,0,2,0,0,1902,1902,1
264,HM Taberer (SA),1,2,2,2,0,1,48,0,0,0,-45.99,1902,1902,1
265,LJ Tancred (SA),14,530,97,21.2,0,0,0,0,3,0,0,1902,1913,12
266,G Thornton (SA),1,1,1,0,0,1,20,0,1,0,0,1902,1902,1
267,JH Anderson (SA),1,43,32,21.5,0,0,0,0,1,0,0,1902,1902,1
268,JJ Kotze (SA),3,2,2,0.4,0,6,40.5,0,3,0,-40.09,1902,1907,6
269,PS Twentyman-Jones (SA),1,0,0,0,0,0,0,0,0,0,0,1902,1902,1
270,EG Arnold (ENG),10,160,40,13.33,0,31,25.41,1,8,0,-12.08,1903,1907,5
271,BJT Bosanquet (ENG),7,147,27,13.36,0,25,24.16,2,9,0,-10.79,1903,1905,3
272,RE Foster (ENG),8,602,287,46.3,1,0,0,0,13,0,0,1903,1907,5
273,AE Relf (ENG),13,416,63,23.11,0,25,24.96,1,14,0,-1.84,1903,1914,12
274,A Fielder (ENG),6,78,20,11.14,0,26,27.34,1,4,0,-16.2,1904,1908,5
275,AE Knight (ENG),3,81,70,16.2,0,0,0,0,1,0,0,1904,1904,1
276,A Cotter (AUS),21,457,45,13.05,0,89,28.64,7,8,0,-15.58,1904,1912,9
277,PA McAlister (AUS),8,252,41,16.8,0,0,0,0,10,0,0,1904,1909,6
278,DRA Gehrs (AUS),6,221,67,20.09,0,0,0,0,6,0,0,1904,1911,8
279,D Denton (ENG),11,424,104,20.19,1,0,0,0,8,0,0,1905,1910,6
280,A Warren (ENG),1,7,7,7,0,6,18.83,1,1,0,-11.83,1905,1905,1
281,W Brearley (ENG),4,21,11,7,0,17,21.11,1,0,0,-14.11,1905,1912,8
282,RH Spooner (ENG),10,481,119,32.06,1,0,0,0,4,0,0,1905,1912,8
283,JN Crawford (ENG),12,469,74,22.33,0,39,29.48,3,13,0,-7.15,1906,1908,3
284,FL Fane (ENG),14,682,143,26.23,1,0,0,0,6,0,0,1906,1910,5
285,GA Faulkner (SA),25,1754,204,40.79,4,82,26.58,4,20,0,14.2,1906,1924,19
286,EG Hayes (ENG),5,86,35,10.75,0,1,52,0,2,0,-41.24,1906,1912,7
287,WS Lees (ENG),5,66,25,11,0,26,17.96,2,2,0,-6.96,1906,1906,1
288,RO Schwarz (SA),20,374,61,13.85,0,55,25.76,2,18,0,-11.91,1906,1912,7
289,PW Sherwell (SA),13,427,115,23.72,1,0,0,0,20,16,0,1906,1911,6
290,SJ Snooke (SA),26,1008,103,22.4,1,35,20.05,1,24,0,2.34,1906,1923,18
291,AEE Vogler (SA),15,340,65,17,0,64,22.73,5,20,0,-5.73,1906,1911,6
